GFVO Class,GFF3 Data Structure,GTF Data Structure,GVF Data Structure,VCF Data Structure
Locus,“start” column; “end” column; “strand” column,“start” column; “end” column; “strand” column,“start” column; “end” column; “strand” column; “Start_range” attribute; “End_range” attribute,“POS” column
Male,n/a,n/a,“sex” pragma,n/a
MappingQuality,n/a,n/a,n/a,“MQ” information field
Match,“Target” attribute,n/a,“Target” attribute; utilized by “sequence-alignment” pragma,utilized by “CIGAR” additional information
MaterialEntity,see subclasses for applications,see subclasses for applications,see subclasses for applications,see subclasses for applications
MaternalHeritage,n/a,n/a,unspecified; potential use in phased genotypes,unspecified; potential use in phased genotypes
Name,“genome-build” pragma,“feature” column,“genome-build” pragma; “population” pragma; “technology-platform-name” pragma,n/a
Note,n/a,n/a,“sample-description” pragma; “Comment” key/value pairs in structured attributes,“Description” key/value property in information fields; “SB” information field (chosen due to ambiguous definition of strand bias)
NumberOfReads,n/a,n/a,“Variant_reads” attribute,“MQ0” attribute (with GFVO property “hasQuality” and GFVO class “MappingQuality” instance with value 0)
Object,see subclasses for applications,see subclasses for applications,see subclasses for applications,see subclasses for applications
PairedEndReadPlatform,n/a,n/a,“technology-platform-read-type” pragma,n/a
PaternalHeritage,n/a,n/a,unspecified; potential use in phased genotypes,unspecified; potential use in phased genotypes
PeptideSequence,“FASTA” annotation,n/a,“FASTA” annotation,n/a
Phenotype,n/a,n/a,“phenotype-description” structured pragma (see also GFVO class “Phenotype”),n/a
PhredScore,n/a,n/a,“score” column,“QUAL” column; “PL” additional information (linked to GFVO class “Genotype”); “HQ” additional information (see also GFVO class “Haplotype”); “PQ” additional information (see also GFVO “GameticPhase”)
PrenatalCell,n/a,n/a,“genomic-source” pragma (deprecated class; meaning questioned in the specification),n/a
Process,see subclasses for applications,see subclasses for applications,see subclasses for applications,see subclasses for applications
ProteinSequence,n/a,n/a,“sequencing-scope” pragma (for use with targeted sequencing),n/a
Proteome,n/a,n/a,“sequencing-scope” pragma (anticipated future use),n/a
Quality,see subclasses for applications,see subclasses for applications,see subclasses for applications,see subclasses for applications
Quantity,see subclasses for applications,see subclasses for applications,see subclasses for applications,see subclasses for applications
RNASequencing,n/a,n/a,“data-source” structured pragma,n/a
ReferenceSequence,n/a,n/a,“Reference_seq” attribute; “Sequence_context” attribute (see also GFVO properties “isBefore”/“isAfter”),“REF” column
ReferenceSequenceGap,“Target” attribute,n/a,“Target” attribute; utilized by “sequence-alignment” pragma,utilized by “CIGAR” additional information
ReverseReferenceSequenceFrameshift,“Target” attribute,n/a,“Target” attribute; utilized by “sequence-alignment” pragma,utilized by “CIGAR” additional information
Sample,n/a,n/a,“sample-description” pragma,“SAMPLE” information field
SampleCount,n/a,n/a,n/a,“NS” additional information
SampleMixture,n/a,n/a,n/a,“Mixture” key/value property in information fields (“SAMPLE” information field)
Scaffold,n/a,n/a,“sequencing-scope” pragma (for use with targeted sequencing),n/a
Score,“score” column,“score” column,“score” column; “score-method” structured pragma,uses subclasses of “Score” (see GFVO classes “Phred Score” and “Conditional Genotype Quality”)
Sequence,see subclasses for applications,n/a,"“sequencing-scope” pragma (for use with targeted sequencing), see subclasses for further applications",n/a
SequenceAlignment,“Target” attribute,n/a,“Target” attribute; “sequence-alignment” pragma,“CIGAR” additional information
SequenceAlignmentOperation,see subclasses for applications,see subclasses for applications,see subclasses for applications,see subclasses for applications
SequenceVariant,n/a,n/a,“Variant_seq” attribute,“ALT” column; “ALT” information field (with SO annotation)
SequencedIndividual,n/a,n/a,“Individual” attribute; “multi-individual” pragma,not within specification; but could be applied by data providers (see GFVO class “Haplotype”)
SequencingTechnologyPlatform,n/a,n/a,“technology-platform-class” pragma; composite for aggregating “technology-platform-name” pragma and “technology-platform-version” pragma and “technology-platform-machine-id” pragma and “technology-platform-read-length” pragma and “technology-platform-read-type” pragma and “technology-platform-read-pair-span” pragma and “technology-platform-average-coverage” pragma; “technology-platform” structured pragma,n/a
Sex,n/a,n/a,“sex” pragma,n/a
SomaticCell,n/a,n/a,“genomic-source” pragma,“SOMATIC” additional information (use with GFVO property “refersTo”)
Span,for use with “SequenceAlignmentOperation”,n/a,for use with “SequenceAlignmentOperation”; “technology-platform-read-length” pragma and “technology-platform-read-pair-span” pragma,n/a
TargetSequenceGap,“Target” attribute,n/a,“Target” attribute; utilized by “sequence-alignment” pragma,utilized by “CIGAR” additional information
TotalNumberOfAlleles,n/a,n/a,n/a,“AN” additional information
TotalNumberOfReads,n/a,n/a,“Total_reads” attribute,“DP” additional information
VariantCalling,n/a,n/a,“variant-calling” pragma,“FILTER” information field (see also GFVO property “isRefutedBy”)
Version,“gff-version” pragma,“gff-version” “##”-line type,“gvf-version” pragma; “file-version” pragma; “technology-platform-version” pragma,“fileformat” meta-information line
WatsonCrickHelix,“Is_circular” attribute (see also GFVO class “CircularHelix”),n/a,“Is_circular” attribute (see also GFVO class “CircularHelix”),n/a
Zygosity,n/a,n/a,see specific GFVO classes “Heterozygous” and “Homozygous” and “Hemizygous”,see specific GFVO classes “Heterozygous” and “Homozygous” and “Hemizygous”
